key,name_ko,name_en,description,source_status,source_url
mareunojingeojorim,마른오징어조림,Mareunojingeojorim,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 102) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
juksunbokeum,죽순볶음,Juksunbokeum,EPIS 레시피 DB 볶음 (RECIPE_ID 103) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
hobakjeon,호박전,Hobakjeon,EPIS 레시피 DB 부침 (RECIPE_ID 104) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
buchujeon,부추전,Buchujeon,EPIS 레시피 DB 부침 (RECIPE_ID 108) · 재료 6종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dwaejigalbigui,돼지갈비구이,Dwaejigalbigui,EPIS 레시피 DB 구이 (RECIPE_ID 109) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kkongchimujorim,꽁치무조림,Kkongchimujorim,EPIS 레시피 DB 조림 (RECIPE_ID 111) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gimchijeok,김치적,Gimchijeok,EPIS 레시피 DB 부침 (RECIPE_ID 112) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
nakjibokeum,낙지볶음,Nakjibokeum,EPIS 레시피 DB 볶음 (RECIPE_ID 113) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dubugimchi,두부김치,Dubugimchi,EPIS 레시피 DB 볶음 (RECIPE_ID 114) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dubumiyeoknaengchae,두부미역냉채,Dubumiyeoknaengchae,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 117) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
haejangramyeon,해장라면,Haejangramyeon,EPIS 레시피 DB 만두/면류 (RECIPE_ID 119) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kkongchiganjanggui,꽁치간장구이,Kkongchiganjanggui,EPIS 레시피 DB 구이 (RECIPE_ID 121) · 재료 7종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gamjagochuchaebokeum,감자고추채볶음,Gamjagochuchaebokeum,EPIS 레시피 DB 볶음 (RECIPE_ID 122) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
ganeunpajapchae,가는파잡채,Ganeunpajapchae,EPIS 레시피 DB 볶음 (RECIPE_ID 123) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
mukgwayangnyeomjang,묵과양념장,Mukgwayangnyeomjang,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 124) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
godeungeosaltwigimgwasoseu,고등어살튀김과소스,Godeungeosaltwigimgwasoseu,EPIS 레시피 DB 튀김/커틀릿 (RECIPE_ID 125) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gajiwamareunsaeumuchim,가지와마른새우무침,Gajiwamareunsaeumuchim,EPIS 레시피 DB 볶음 (RECIPE_ID 126) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
tteokgalbigui,떡갈비구이,Tteokgalbigui,EPIS 레시피 DB 구이 (RECIPE_ID 128) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
golbaengimuchim,골뱅이무침,Golbaengimuchim,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 129) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dubuyangnyeomjorim,두부양념조림,Dubuyangnyeomjorim,EPIS 레시피 DB 조림 (RECIPE_ID 130) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
yukhoe,육회,Yukhoe,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 131) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
yubugyeranjjim,유부계란찜,Yubugyeranjjim,EPIS 레시피 DB 찜 (RECIPE_ID 135) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
beoseotdeopbap,버섯덮밥,Beoseotdeopbap,EPIS 레시피 DB 밥 (RECIPE_ID 138) · 재료 15종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dakgogisusamsaelreodeu,닭고기수삼샐러드,Dakgogisusamsaelreodeu,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 139) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gopchangjeongol,곱창전골,Gopchangjeongol,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 146) · 재료 18종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
agwijjim,아귀찜,Agwijjim,EPIS 레시피 DB 찜 (RECIPE_ID 147) · 재료 13종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
