pattern_key,ingredient_key,presence,role
dolsot_bibimbap,sesame_seed,always,garnish
dolsot_bibimbap,garlic,always,main
dolsot_bibimbap,soybean_sprout,always,main
dolsot_bibimbap,mushroom,always,main
dolsot_bibimbap,cooking_oil,always,sauce
dolsot_bibimbap,carrot,always,main
dolsot_bibimbap,egg,always,main
dolsot_bibimbap,lettuce,always,main
dolsot_bibimbap,gochujang,always,sauce
dolsot_bibimbap,pear,always,main
yeongyang_dolsotbap,rice,always,main
yeongyang_dolsotbap,black_bean,always,main
yeongyang_dolsotbap,mushroom,always,main
yeongyang_dolsotbap,chestnut,always,main
yeongyang_dolsotbap,sweet_potato,always,main
yeongyang_dolsotbap,jujube,always,main
yeongyang_dolsotbap,ginseng,always,main
yeongyang_dolsotbap,ginkgo_nut,always,main
yeongyang_dolsotbap,cooking_oil,always,sauce
yeongyang_dolsotbap,soy_sauce,always,sauce
yeongyang_dolsotbap,gochugaru,always,sauce
yeongyang_dolsotbap,green_chili,always,main
yeongyang_dolsotbap,garlic,always,main
yeongyang_dolsotbap,sesame_seed,always,garnish
yeongyang_dolsotbap,sesame_oil,always,sauce
yeongyang_dolsotbap,salt,always,sauce
yeongyang_dolsotbap,green_onion,always,main
bulgogi_rice_bowl,rice,always,main
bulgogi_rice_bowl,beef,always,main
bulgogi_rice_bowl,onion,always,main
bulgogi_rice_bowl,bell_pepper,always,main
bulgogi_rice_bowl,red_chili,always,main
bulgogi_rice_bowl,glass_noodles,always,main
bulgogi_rice_bowl,mushroom,always,main
bulgogi_rice_bowl,cooking_oil,always,sauce
bulgogi_rice_bowl,soy_sauce,always,sauce
bulgogi_rice_bowl,salt,always,sauce
bulgogi_rice_bowl,sugar,always,sauce
bulgogi_rice_bowl,corn_syrup,always,sauce
bulgogi_rice_bowl,green_onion,always,main
bulgogi_rice_bowl,garlic,always,main
bulgogi_rice_bowl,black_pepper,always,sauce
dwaeji_gukbap,rice,always,main
dwaeji_gukbap,pork,always,main
dwaeji_gukbap,doenjang,always,sauce
dwaeji_gukbap,ginger,always,main
dwaeji_gukbap,cooking_wine,always,sauce
dwaeji_gukbap,eomnamu,always,main
dwaeji_gukbap,green_onion,always,main
dwaeji_gukbap,green_chili,always,main
dwaeji_gukbap,chive,always,main
dwaeji_gukbap,perilla_seed,always,garnish
dwaeji_gukbap,saeujeot,always,sauce
dwaeji_gukbap,salt,always,sauce
dwaeji_gukbap,black_pepper,always,sauce
dwaeji_gukbap,gochugaru,always,sauce
dwaeji_gukbap,gochujang,always,sauce
dwaeji_gukbap,garlic,always,main
sogogi_gukbap,rice,always,main
sogogi_gukbap,beef,always,main
sogogi_gukbap,garlic,always,main
sogogi_gukbap,black_pepper,always,sauce
sogogi_gukbap,radish,always,main
sogogi_gukbap,green_onion,always,main
sogogi_gukbap,soybean_sprout,always,main
sogogi_gukbap,gochugaru,always,sauce
sogogi_gukbap,cooking_oil,always,sauce
sogogi_gukbap,soy_sauce,always,sauce
sogogi_gukbap,sesame_oil,always,sauce
sogogi_gukbap,salt,always,sauce
five_grain_rice,rice,always,main
five_grain_rice,glutinous_rice,always,main
five_grain_rice,red_bean,always,main
five_grain_rice,black_bean,always,main
five_grain_rice,sorghum,always,main
five_grain_rice,millet,always,main
five_grain_rice,salt,always,sauce
sundae_gukbap,rice,always,main
sundae_gukbap,sundae,always,main
sundae_gukbap,beef_bone_broth,always,broth
sundae_gukbap,pork,always,main
sundae_gukbap,green_onion,always,main
sundae_gukbap,perilla_seed,always,garnish
sundae_gukbap,saeujeot,always,sauce
sundae_gukbap,green_chili,always,main
sundae_gukbap,gochugaru,always,sauce
sundae_gukbap,soy_sauce,always,sauce
sundae_gukbap,garlic,always,main
sundae_gukbap,onion,always,main
sundae_gukbap,ginger,always,main
sundae_gukbap,black_pepper,always,sauce
kongnamul_gukbap,rice,always,main
kongnamul_gukbap,soybean_sprout,always,main
kongnamul_gukbap,green_onion,always,main
kongnamul_gukbap,saeujeot,always,sauce
kongnamul_gukbap,soy_sauce,always,sauce
kongnamul_gukbap,garlic,always,main
kongnamul_gukbap,salt,always,sauce
kongnamul_gukbap,seaweed_gim,always,main
kongnamul_gukbap,green_chili,always,main
kongnamul_gukbap,gochugaru,always,sauce
kongnamul_gukbap,egg,always,main
kongnamul_bap,rice,always,main
kongnamul_bap,beef,always,main
kongnamul_bap,cooking_wine,always,sauce
kongnamul_bap,soy_sauce,always,sauce
kongnamul_bap,soybean_sprout,always,main
kongnamul_bap,gochugaru,always,sauce
kongnamul_bap,green_chili,always,main
kongnamul_bap,green_onion,always,main
kongnamul_bap,garlic,always,main
kongnamul_bap,sesame_seed,always,garnish
kongnamul_bap,sesame_oil,always,sauce
kongnamul_bap,salt,always,sauce
ugeoji_sagol_gukbap,rice,always,main
ugeoji_sagol_gukbap,beef_bone_broth,always,broth
ugeoji_sagol_gukbap,beef,always,main
ugeoji_sagol_gukbap,ugeoji,always,main
ugeoji_sagol_gukbap,green_onion,always,main
ugeoji_sagol_gukbap,red_chili,always,main
ugeoji_sagol_gukbap,salt,always,sauce
ugeoji_sagol_gukbap,soy_sauce,always,sauce
ugeoji_sagol_gukbap,garlic,always,main
ugeoji_sagol_gukbap,sesame_oil,always,sauce
ugeoji_sagol_gukbap,black_pepper,always,sauce
ugeoji_sagol_gukbap,doenjang,always,sauce
ugeoji_sagol_gukbap,gochugaru,always,sauce
ssambap,rice,always,main
ssambap,lettuce,always,main
ssambap,crown_daisy,always,main
ssambap,perilla_leaf,always,main
ssambap,kale,always,main
ssambap,mustard_leaf,always,main
ssambap,cabbage,always,main
ssambap,pumpkin_leaf,always,main
ssambap,beef,always,main
ssambap,green_chili,always,main
ssambap,doenjang,always,sauce
ssambap,gochujang,always,sauce
ssambap,gochugaru,always,sauce
ssambap,sesame_oil,always,sauce
ssambap,pine_nut,always,main
jeyuk_rice_bowl,rice,always,main
jeyuk_rice_bowl,pork,always,main
jeyuk_rice_bowl,cabbage,always,main
jeyuk_rice_bowl,onion,always,main
jeyuk_rice_bowl,green_chili,always,main
jeyuk_rice_bowl,red_chili,always,main
jeyuk_rice_bowl,carrot,always,main
jeyuk_rice_bowl,green_onion,always,main
jeyuk_rice_bowl,garlic,always,main
jeyuk_rice_bowl,cooking_oil,always,sauce
jeyuk_rice_bowl,gochujang,always,sauce
jeyuk_rice_bowl,gochugaru,always,sauce
jeyuk_rice_bowl,soy_sauce,always,sauce
jeyuk_rice_bowl,sugar,always,sauce
jeyuk_rice_bowl,corn_syrup,always,sauce
jeyuk_rice_bowl,cooking_wine,always,sauce
jeyuk_rice_bowl,ginger,always,main
jeyuk_rice_bowl,sesame_oil,always,sauce
jeyuk_rice_bowl,salt,always,sauce
jeyuk_rice_bowl,black_pepper,always,sauce
jeyuk_bibimbap,rice,always,main
jeyuk_bibimbap,pork,always,main
jeyuk_bibimbap,cooking_oil,always,sauce
jeyuk_bibimbap,green_onion,always,main
jeyuk_bibimbap,soybean_sprout,always,main
jeyuk_bibimbap,perilla_leaf,always,main
jeyuk_bibimbap,lettuce,always,main
jeyuk_bibimbap,gochujang,always,sauce
jeyuk_bibimbap,soy_sauce,always,sauce
jeyuk_bibimbap,gochugaru,always,sauce
jeyuk_bibimbap,sugar,always,sauce
jeyuk_bibimbap,cooking_wine,always,sauce
jeyuk_bibimbap,garlic,always,main
jeyuk_bibimbap,black_pepper,always,sauce
jeyuk_bibimbap,plum_syrup,always,sauce
jeyuk_bibimbap,salt,always,sauce
jeyuk_bibimbap,sesame_oil,always,sauce
jeyuk_bibimbap,sesame_seed,always,garnish
ureong_doenjang_bibimbap,rice,always,main
ureong_doenjang_bibimbap,barley,always,main
ureong_doenjang_bibimbap,chive,always,main
ureong_doenjang_bibimbap,river_snail,always,main
ureong_doenjang_bibimbap,wheat_flour,always,main
ureong_doenjang_bibimbap,cooking_wine,always,sauce
ureong_doenjang_bibimbap,doenjang,always,sauce
ureong_doenjang_bibimbap,tofu,always,main
ureong_doenjang_bibimbap,mushroom,always,main
ureong_doenjang_bibimbap,onion,always,main
ureong_doenjang_bibimbap,zucchini,always,main
ureong_doenjang_bibimbap,green_chili,always,main
ureong_doenjang_bibimbap,green_onion,always,main
ureong_doenjang_bibimbap,garlic,always,main
ureong_doenjang_bibimbap,gochugaru,always,sauce
ureong_doenjang_bibimbap,sesame_oil,always,sauce
yukhoe_bibimbap,rice,always,main
yukhoe_bibimbap,beef,always,main
yukhoe_bibimbap,pear,always,main
yukhoe_bibimbap,garlic,always,main
yukhoe_bibimbap,egg,always,main
yukhoe_bibimbap,seaweed_gim,always,main
yukhoe_bibimbap,spinach,always,main
yukhoe_bibimbap,mushroom,always,main
yukhoe_bibimbap,sugar,always,sauce
yukhoe_bibimbap,salt,always,sauce
yukhoe_bibimbap,cooking_oil,always,sauce
yukhoe_bibimbap,green_onion,always,main
yukhoe_bibimbap,sesame_seed,always,garnish
yukhoe_bibimbap,sesame_oil,always,sauce
yukhoe_bibimbap,soy_sauce,always,sauce
yukhoe_bibimbap,gochugaru,always,sauce
hoedeopbap,rice,always,main
hoedeopbap,flatfish,always,main
hoedeopbap,salmon,always,main
hoedeopbap,squid,always,main
hoedeopbap,iceberg_lettuce,always,main
hoedeopbap,lettuce,always,main
hoedeopbap,cucumber,always,main
hoedeopbap,radish_sprout,always,main
hoedeopbap,garlic,always,main
hoedeopbap,green_chili,always,main
hoedeopbap,sesame_seed,always,garnish
hoedeopbap,gochujang,always,sauce
hoedeopbap,soy_sauce,always,sauce
hoedeopbap,sugar,always,sauce
hoedeopbap,vinegar,always,sauce
hoedeopbap,ginger,always,main
hoedeopbap,sesame_oil,always,sauce
multigrain_rice,rice,always,main
multigrain_rice,brown_rice,always,main
multigrain_rice,red_bean,always,main
multigrain_rice,millet,always,main
japchae_rice_bowl,rice,always,main
japchae_rice_bowl,glass_noodles,always,main
japchae_rice_bowl,pork,always,main
japchae_rice_bowl,garlic,always,main
japchae_rice_bowl,bell_pepper,always,main
japchae_rice_bowl,carrot,always,main
japchae_rice_bowl,onion,always,main
japchae_rice_bowl,green_onion,always,main
japchae_rice_bowl,wood_ear_mushroom,always,main
japchae_rice_bowl,starch,always,main
japchae_rice_bowl,cooking_oil,always,sauce
japchae_rice_bowl,sesame_oil,always,sauce
japchae_rice_bowl,sesame_seed,always,garnish
japchae_rice_bowl,soy_sauce,always,sauce
japchae_rice_bowl,cooking_wine,always,sauce
japchae_rice_bowl,sugar,always,sauce
japchae_rice_bowl,black_pepper,always,sauce
barley_rice,barley,always,main
barley_rice,rice,always,main
gondre_namul_bap,rice,always,main
gondre_namul_bap,glutinous_rice,always,main
gondre_namul_bap,gondre,always,main
gondre_namul_bap,soy_sauce,always,sauce
gondre_namul_bap,perilla_oil,always,sauce
gondre_namul_bap,garlic,always,main
gondre_namul_bap,gochugaru,always,sauce
gondre_namul_bap,perilla_seed,always,garnish
gimbap,rice,always,main
gimbap,salt,always,sauce
gimbap,sesame_oil,always,sauce
gimbap,seaweed_gim,always,main
gimbap,beef,always,main
gimbap,pickled_radish,always,main
