key,name,name_ko,address,latitude,longitude,category,description,source_status,source_url,collected_at,collected_by,is_active,_keep,_rank,_area_m2,_dist_m,_permit_year,_phone,_lot_address
,,이지스테이,"서울특별시 마포구 와우산로 125, 6층 (서교동)",37.553636,126.927483,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,343,49.67,538,2025,,서울특별시 마포구 서교동 338-52
,,감정선프로젝트 베이킹 연남점,"서울특별시 마포구 동교로27길 83, 2층 2-1호 (연남동)",37.561201,126.920008,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,344,49.6,643,2024,,서울특별시 마포구 연남동 562-26
,,무국적식탁 홍대점,"서울특별시 마포구 어울마당로 153-3, 2층 (동교동)",37.556903,126.926817,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,345,49.0,313,2022,,서울특별시 마포구 동교동 170-10
,,해달밥술,"서울특별시 마포구 동교로30길 17-1, 지층 (동교동)",37.560288,126.925157,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,346,49.0,387,2022,,서울특별시 마포구 동교동 149-11
,,브론시스(BRONSIS),"서울특별시 마포구 연희로1길 57 (연남동, 지1층)",37.56139,126.926348,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,347,49.0,553,2016,,서울특별시 마포구 연남동 383-23 지1층
,,풍년식당,"서울특별시 마포구 월드컵북로 47 (서교동,1층)",37.558358,126.917679,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,348,48.35,718,2005,,서울특별시 마포구 서교동 449-4 1층
,,옛날집,서울특별시 마포구 양화로18안길 26 (동교동),37.55658,126.925699,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,349,48.24,194,2001,02-3141-9608,서울특별시 마포구 동교동 169-6 (1층)
,,연남 흑돼지,"서울특별시 마포구 동교로32길 3, 1층 (연남동)",37.560836,126.924544,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,350,48.0,430,2017,,서울특별시 마포구 연남동 260-52
,,큐어서울 (Cure Seoul),"서울특별시 마포구 신촌로2안길 20, 1층 102호 (동교동)",37.557228,126.928111,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,351,48.0,457,2026,,서울특별시 마포구 동교동 176-20
,,리플리,"서울특별시 마포구 동교로46길 7, 지층 B02호 (연남동)",37.56273,126.925361,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,352,48.0,654,2025,,서울특별시 마포구 연남동 387-19
,,핑크스 룸&루프탑,"서울특별시 마포구 잔다리로6길 39, 4층 (서교동)",37.552446,126.921353,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,353,47.84,585,2022,,서울특별시 마포구 서교동 369-5
,,연남광안리 숙성횟집,"서울특별시 마포구 동교로 258-1, 1층 (연남동)",37.562768,126.925036,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,354,47.84,650,2020,,서울특별시 마포구 연남동 228-28
,,레드브릭,"서울특별시 마포구 와우산로29라길 20, 지1층 우측호 (서교동)",37.555048,126.926817,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,355,47.2,380,2026,,서울특별시 마포구 서교동 333-13
